Date,Yield 3M,Yield 6M,Yield 9M,Yield 1Y,Yield 2Y,Yield 3Y,Yield 5Y,Yield 7Y,Yield 10Y,Yield 20Y,Yield 30Y
2004-09-06,2.034172388,2.12192029,2.21040679,2.298838461,2.641261536,2.951577998,3.457222188,3.828505245,4.209219926,4.779293043,4.988680065
2004-09-07,2.040893298,2.138821676,2.234922154,2.328890662,2.679765965,2.987292532,3.479517511,3.839293576,4.209625927,4.768947413,4.975494838
2004-09-08,2.044383833,2.148064441,2.24887104,2.346665569,2.706542325,3.016997945,3.507893638,3.863752866,4.228418977,4.77688051,4.978894171
2004-09-09,2.037111004,2.128935049,2.219696324,2.3089882,2.646224036,2.945648605,3.430627954,3.789113494,4.161872116,4.733253517,4.946545279
2004-09-10,2.034644986,2.11197572,2.191266668,2.271565629,2.589654467,2.884698885,3.374729217,3.740558551,4.120981441,4.702037479,4.918530044
2004-09-13,2.041363125,2.131144141,2.219875562,2.3071858,2.637372559,2.931472673,3.41031876,3.766500698,4.138965263,4.713932892,4.929555475
2004-09-14,2.037902543,2.124443228,2.210589504,2.295860433,2.621713605,2.91500486,3.395881557,3.754878114,4.130649993,4.710674753,4.92815661
2004-09-15,2.040883152,2.126959385,2.21272585,2.297685687,2.622747742,2.915614582,3.395868556,3.754161188,4.128746949,4.705733044,4.921745016
2004-09-16,2.047757854,2.135470666,2.2224789,2.308354306,2.634831682,2.92710558,3.404289989,3.75935321,4.130072962,4.700319646,4.913588816
2004-09-17,2.050293417,2.126022695,2.20345927,2.281754997,2.591641627,2.879661931,3.360507887,3.72168062,4.098975534,4.677442938,4.893321998
2004-09-20,2.046295792,2.123791291,2.202324351,2.281191284,2.590150661,2.875060108,3.349658488,3.706810034,4.08128355,4.658544505,4.874709721
2004-09-21,2.050188676,2.130553892,2.211280693,2.291793161,2.603702885,2.888546113,3.360754977,3.715770721,4.088464613,4.664327931,4.880267572
2004-09-22,2.052665356,2.132050429,2.211753397,2.291218966,2.598986166,2.880112493,3.346642129,3.697950071,4.067370434,4.63947607,4.854330343
2004-09-23,2.043346791,2.107439383,2.174605278,2.243830015,2.526792012,2.798287068,3.2628572,3.618512197,3.995153021,4.582512885,4.804375482
2004-09-24,2.058449604,2.131470521,2.205933026,2.28109337,2.578198331,2.854775204,3.319031764,3.670473202,4.040458746,4.613604073,4.829017937
2004-09-27,2.05567022,2.124938243,2.196103077,2.268371989,2.557154166,2.829084007,3.289942514,3.64147471,4.013463153,4.59286765,4.811382255
2004-09-28,2.05306124,2.122824395,2.193854103,2.265590597,2.551172591,2.821410126,3.285461001,3.643500401,4.022045518,4.595772857,4.805108077
2004-09-29,2.061800711,2.138306624,2.21487424,2.291128059,2.587423425,2.861329774,3.32500179,3.680832784,4.057650424,4.632431831,4.843014705
2004-09-30,2.031314169,2.116389848,2.19987698,2.281661131,2.590240481,2.867429786,3.329645365,3.684608588,4.065687317,4.664517865,4.888623179
2004-10-01,2.060935551,2.131499987,2.203555691,2.276507659,2.568274871,2.84580552,3.324627273,3.695512928,4.088667664,4.685771683,4.903750011
2004-10-04,2.059473964,2.137134469,2.215319842,2.293545879,2.599665786,2.884031494,3.364846598,3.731321486,4.115546381,4.692609156,4.902030246
2004-10-05,2.058884948,2.131806723,2.205769746,2.280236296,2.575059869,2.852482127,3.326838917,3.691711957,4.076709804,4.658768456,4.870749809
2004-10-06,2.061838905,2.133269359,2.206009858,2.279477196,2.571848751,2.848189072,3.321581776,3.685543152,4.068814653,4.646220996,4.85606219
2004-10-07,2.062147475,2.132516962,2.204563228,2.277636586,2.570432151,2.84880125,3.326921454,3.694443222,4.080701567,4.660623802,4.870986577
2004-10-08,2.044805876,2.101748589,2.162928902,2.227285875,2.500461796,2.773487535,3.256038122,3.631478605,4.026578541,4.618684049,4.833559408
2004-10-11,2.054990187,2.109538789,2.168779454,2.231584508,2.501395423,2.773875332,3.258747005,3.637608016,4.037260573,4.637617121,4.855812142
2004-10-12,2.048719014,2.096445583,2.149923581,2.207868331,2.464857618,2.731156058,3.212325812,3.591486952,3.993070135,4.598720395,4.819476094
2004-10-13,2.058014464,2.108037779,2.163439933,2.222985393,2.483919414,2.751566318,3.231775486,3.60825499,4.005572777,4.602229755,4.819112031
2004-10-14,2.053922696,2.098976287,2.150377677,2.20672785,2.460493562,2.726094721,3.20741968,3.586203067,3.986147548,4.58685404,4.805393506
2004-10-15,2.058405735,2.091079913,2.133215255,2.182801544,2.42571624,2.693214722,3.185598547,3.57196528,3.976069023,4.57664629,4.794444614
2004-10-18,2.054267507,2.089643977,2.133634775,2.18442672,2.428403592,2.694778337,3.186000841,3.574137411,3.983234087,4.596523253,4.81983816
2004-10-19,2.05936701,2.096316956,2.141793428,2.193978097,2.442577725,2.712177475,3.206779886,3.595913622,4.004733682,4.615450198,4.83740436
2004-10-20,2.062482599,2.08958937,2.126981746,2.17254153,2.404825782,2.667575695,3.159253247,3.54974092,3.962014401,4.582606242,4.809660041
2004-10-21,2.065074196,2.094598009,2.133749646,2.180539566,2.414305276,2.675800123,3.163300482,3.550294667,3.959098235,4.574455058,4.799427315
2004-10-22,2.069744406,2.101940486,2.143002382,2.191095812,2.426228753,2.686210076,3.169520487,3.553690524,3.960500948,4.574280003,4.798792261
2004-10-25,2.065965732,2.090275891,2.124678314,2.167158462,2.387554405,2.640649577,3.1208852,3.507357698,3.919884186,4.54870708,4.780433639
2004-10-26,2.071719134,2.094026737,2.126744337,2.167806873,2.384453765,2.635688945,3.114680417,3.501185481,3.914482294,4.546168342,4.779450283
2004-10-27,2.078820338,2.101514448,2.134633828,2.176090605,2.393978588,2.645698671,3.123762737,3.508102305,3.917933874,4.542700106,4.773166889
2004-10-28,2.080703836,2.119727369,2.166594991,2.219595752,2.467402025,2.732585029,3.215797788,3.595268707,3.994895596,4.596816226,4.817246508
2004-10-29,2.072875054,2.116657557,2.165324958,2.217861361,2.451040944,2.695416201,3.14827444,3.518322126,3.92653556,4.581997372,4.831994775
2004-11-01,2.078214117,2.110158218,2.150784281,2.198296513,2.430287914,2.686931837,3.1660073,3.550197111,3.96255725,4.601572157,4.840586222
2004-11-02,2.083189961,2.121072011,2.166577144,2.218078706,2.459663858,2.719760488,3.198305621,3.578949087,3.985471964,4.611088504,4.843772141
2004-11-03,2.040958382,2.088275442,2.14132798,2.198834608,2.454048504,2.71880551,3.198585353,3.578962625,3.985771645,4.611985431,4.844307444
2004-11-04,2.028328475,2.07796754,2.13293466,2.192017461,2.451174265,2.717692067,3.19858531,3.579185466,3.986013211,4.611615106,4.843407368
2004-11-05,2.011803082,2.064720293,2.12237949,2.183666698,2.448230392,2.717005621,3.199013224,3.579617467,3.98629738,4.611321902,4.842643594
2004-11-08,1.990768668,2.049178285,2.111171864,2.17584436,2.447545568,2.717993877,3.198948215,3.578541407,3.985394954,4.612874354,4.845154462
2004-11-09,2.120021178,2.155477772,2.19809802,2.246411046,2.474258781,2.721624536,3.181206432,3.54964418,3.944108493,4.547417411,4.769728326
2004-11-10,2.118678771,2.150742318,2.190176693,2.235570235,2.454875766,2.698462892,3.159262884,3.532367758,3.930825429,4.525166113,4.738080608
2004-11-11,2.128265721,2.146348234,2.174840441,2.211798952,2.414492109,2.656363792,3.126082671,3.507633205,3.912165531,4.508933738,4.721930839
2004-11-12,2.118055646,2.137755445,2.167253934,2.204732213,2.406451564,2.645195878,3.108582131,3.486095038,3.887883637,4.48312039,4.695882854
2004-11-15,2.125194878,2.141960809,2.168602977,2.203326094,2.39530182,2.62652807,3.080631849,3.453967961,3.853985222,4.450728843,4.66472596
2004-11-16,2.120248769,2.148300092,2.183268015,2.223893723,2.423265057,2.648538417,3.082818974,3.44148845,3.831330379,4.424534135,4.639012774
2004-11-17,2.120817919,2.149022834,2.184342435,2.225473093,2.427738894,2.656309329,3.096113811,3.458252053,3.850619346,4.44537974,4.660039473
2004-11-18,2.123098209,2.158857027,2.200349071,2.246484228,2.460379108,2.692584965,3.130978187,3.489677984,3.878715051,4.471165261,4.685496029
2004-11-19,2.124291488,2.155636974,2.19349223,2.236648841,2.44338409,2.673010067,3.111385729,3.471471606,3.861851796,4.454818727,4.669041478
2004-11-22,2.122901971,2.149435052,2.183206103,2.222905553,2.420497207,2.645787182,3.081893172,3.442569889,3.834555838,4.43064153,4.646124231
2004-11-23,2.128511682,2.152278852,2.183800088,2.221681012,2.415023393,2.638826318,3.074642119,3.435424299,3.826895787,4.420373638,4.634589356
2004-11-24,2.125403019,2.141848167,2.167711013,2.201311351,2.38700057,2.611430384,3.055216813,3.423155117,3.820487122,4.418322801,4.633492843
2004-11-25,2.110506926,2.123750408,2.147248368,2.179164766,2.362620371,2.588444625,3.037011253,3.408268493,3.807567812,4.405297489,4.620019812
2004-11-26,2.106633193,2.118749436,2.141698435,2.173503495,2.358905754,2.587684316,3.039590103,3.410168596,3.804963462,4.389459831,4.598377914
2004-11-29,2.114917502,2.133590235,2.162008657,2.19836256,2.395294114,2.629081023,3.083053741,3.452562486,3.845225508,4.425554638,4.632696832
2004-11-30,2.105418831,2.120505923,2.14594509,2.179835521,2.370680092,2.602114459,3.056039031,3.427348588,3.822850418,4.408758195,4.618238455
2004-12-01,2.096807057,2.107382724,2.129251586,2.160344656,2.345243035,2.575263274,3.030214214,3.402757256,3.798844985,4.384260234,4.593499442
2004-12-02,2.111683596,2.13104837,2.15995696,2.196626573,2.393519235,2.625965978,3.075816532,3.441112206,3.828690067,4.400625434,4.604626148
2004-12-03,2.109738946,2.124045887,2.148436813,2.181088363,2.366154308,2.592001075,3.038063357,3.405647439,3.799779681,4.388070264,4.599162702
2004-12-06,2.093430957,2.098462276,2.115369885,2.142027134,2.313475288,2.535126212,2.982292866,3.353145302,3.750882958,4.344760947,4.558342647
2004-12-07,2.094119873,2.097989385,2.113409942,2.138360988,2.302242382,2.517068877,2.955817941,3.324013823,3.722882466,4.325038568,4.542734561
2004-12-08,2.096332811,2.107320435,2.128285441,2.157473691,2.329239599,2.543834587,2.974732408,3.334743349,3.725050567,4.315084964,4.528234341
2004-12-09,2.090347029,2.097936941,2.115355536,2.140924494,2.298521056,2.500800445,2.914437337,3.265209253,3.650068787,4.240079651,4.454889662
2004-12-10,2.10243817,2.112117985,2.130677888,2.156627552,2.310922261,2.506470191,2.906785308,3.24866694,3.626984077,4.212893932,4.427139452
2004-12-13,2.091911378,2.103902208,2.124610608,2.152546796,2.313242608,2.513019298,2.917142031,3.259253193,3.63539123,4.21381777,4.424533965
2004-12-14,2.098629341,2.110505329,2.130962402,2.158535569,2.317042064,2.51406879,2.91269282,3.250225855,3.621375448,4.192029938,4.39983717
2004-12-15,2.0972094,2.107796978,2.126789325,2.152769073,2.304307203,2.494442278,2.881718798,3.211463056,3.575592079,4.137906262,4.343068833
2004-12-16,2.09254998,2.117882314,2.148806957,2.184338541,2.356955587,2.551824831,2.93094113,3.248876998,3.600383071,4.147722747,4.348174861
2004-12-17,2.094313287,2.128742507,2.167534816,2.209851222,2.401153762,2.60541721,2.989224668,3.304274084,3.648564056,4.179495208,4.373005581
2004-12-20,2.099958108,2.125175767,2.156130826,2.19180687,2.365684208,2.562206094,2.94417046,3.263825646,3.616438536,4.164191845,4.364661851
2004-12-21,2.145671061,2.172712369,2.205004195,2.241607038,2.41628496,2.610941035,2.986814337,3.300729863,3.647167774,4.186146021,4.383508037
2004-12-22,2.09549798,2.141434983,2.188927727,2.237599192,2.438028514,2.637199615,3.001131272,3.302131713,3.641276,4.195821771,4.406035208
2004-12-23,2.083845313,2.125536278,2.169295533,2.214697734,2.405867728,2.600310069,2.962626496,3.266958951,3.613550863,4.186617088,4.405178642
2004-12-24,2.075433155,2.117528612,2.160960997,2.205451532,2.389400195,2.57463488,2.92246013,3.221706108,3.574441988,4.194384624,4.442185961
2004-12-27,2.085266669,2.130115974,2.17661868,2.224398002,2.422209787,2.620146571,2.984758975,3.28901038,3.634788302,4.207272529,4.426173944
2004-12-28,2.138950765,2.163452956,2.193562283,2.228310934,2.398345134,2.591751617,2.971164179,3.292317653,3.650758734,4.216821336,4.426160369
2004-12-29,2.090456706,2.147019731,2.203699994,2.260297017,2.482686176,2.693373929,3.06562874,3.368347136,3.70916921,4.275282212,4.493652708
2004-12-30,2.08144755,2.138509323,2.195631606,2.252621785,2.476220576,2.68775455,3.06126629,3.365097806,3.707557928,4.277869546,4.498353238
2004-12-31,2.062601786,2.123407767,2.183699311,2.243355625,2.473763722,2.688052678,3.061771465,3.364072635,3.705391293,4.280351358,4.505416077
2005-01-03,2.1096295,2.151024053,2.194548972,2.239782458,2.430960785,2.626466624,2.993412135,3.304361811,3.661839654,4.261872585,4.493400965
2005-01-04,2.055906103,2.115073129,2.17380689,2.231981837,2.457144023,2.667102125,3.034202413,3.331801,3.668323233,4.23602179,4.458392226
2005-01-05,2.064858015,2.12669543,2.187837329,2.248179335,2.479968706,2.694019377,3.064512666,3.362032814,3.695968284,4.254532192,4.47224763
2005-01-06,2.060515273,2.107918987,2.157050623,2.207487808,2.415566805,2.622264865,2.998406923,3.307315388,3.652553551,4.21077962,4.421137594
2005-01-07,2.048016053,2.09272014,2.139499227,2.187889346,2.390158932,2.593647597,2.967263405,3.275709046,3.621109981,4.1796528,4.389998027
2005-01-10,2.034898046,2.081487689,2.129946877,2.179831397,2.386555326,2.592691747,2.968441252,3.276929001,3.62108535,4.175478867,4.38380841
2005-01-11,2.062037107,2.107913843,2.155555439,2.204538184,2.40713418,2.608846459,2.976360079,3.278224627,3.615339298,4.159337819,4.363969498
2005-01-12,2.062084595,2.108842798,2.157276506,2.206971292,2.411768554,2.614929688,2.984051406,3.28666049,3.624259797,4.168653683,4.373381606
2005-01-13,2.052742002,2.090331856,2.131210574,2.174735451,2.365086392,2.563966947,2.936372618,3.2452082,3.588908493,4.13571267,4.339242498
2005-01-14,2.056922939,2.097315925,2.140477741,2.185828946,2.379950751,2.578804549,2.94585731,3.247229308,3.580547546,4.107527421,4.302932446
2005-01-17,2.051973686,2.090850019,2.132615997,2.176681353,2.366577391,2.562329992,2.925319068,3.224289829,3.555552282,4.080063424,4.274681367
2005-01-18,2.055868056,2.098212743,2.14300942,2.1897112,2.386943419,2.5862817,2.950131013,3.246140772,3.57127175,4.081152697,4.269279355
2005-01-19,2.057891061,2.096583,2.138335806,2.182497645,2.373014141,2.568586265,2.927042707,3.217198491,3.532531498,4.01800053,4.194968997
2005-01-20,2.058573611,2.10382118,2.151121941,2.199971883,2.402950415,2.604797197,2.968480848,3.261418411,3.580961365,4.078301731,4.260954722
2005-01-21,2.06020409,2.102004472,2.146617794,2.193424904,2.392874222,2.595576619,2.965277976,3.264278672,3.589843219,4.093307195,4.277386797
2005-01-24,2.052405488,2.090667682,2.13219495,2.176315051,2.368144509,2.566691619,2.933447303,3.232531332,3.559665957,4.067444746,4.25345683
2005-01-25,2.050607152,2.086456149,2.126142375,2.168877827,2.358017486,2.555796758,2.920555893,3.214972606,3.532347552,4.01413544,4.188236241
2005-01-26,2.048845864,2.090734048,2.135781248,2.183267998,2.386463401,2.592518819,2.963987361,3.258819618,3.573076073,4.044566539,4.213838209
2005-01-27,2.048596211,2.098911487,2.150933875,2.204152967,2.421126037,2.631860894,3.001752234,3.291548856,3.599677338,4.063414539,4.230298333
2005-01-28,2.050429805,2.091896305,2.136224024,2.18277167,2.381146855,2.582345321,2.947416566,3.240452781,3.556881325,4.04041164,4.215874403
2005-01-31,2.053020899,2.095831563,2.141233105,2.188622136,2.388638903,2.589752385,2.9526003,3.242895011,3.555916048,4.033801752,4.20711205
2005-02-01,2.037723913,2.083235307,2.130933257,2.180269482,2.385454293,2.589037134,2.95325088,3.243383225,3.555893025,4.033310013,4.20656346
2005-02-02,2.051171688,2.096516849,2.143913985,2.192831516,2.395443721,2.5955418,2.951856116,3.234378361,3.537405796,3.997653582,4.164031974
2005-02-03,2.064541789,2.111137779,2.16006707,2.210693207,2.420442534,2.626176505,2.986255152,3.264534163,3.554661443,3.977941756,4.127267655
2005-02-04,2.055050609,2.099126127,2.145643322,2.193969179,2.395647144,2.59502082,2.946518714,3.219988731,3.506640997,3.927303579,4.076073589
2005-02-07,2.052471477,2.10038141,2.14990226,2.2005149,2.405985499,2.603730558,2.945408769,3.207429249,3.479576315,3.875118105,4.014161905
2005-02-08,2.05585209,2.110072146,2.16434975,2.218429676,2.428923751,2.62414109,2.955994535,3.211479113,3.481878067,3.889848358,4.036956782
2005-02-09,2.05239297,2.099190983,2.147372592,2.196483527,2.395258926,2.586573789,2.918918479,3.17626444,3.446597979,3.845677286,3.987149233
2005-02-10,2.049115285,2.091236858,2.135489355,2.181324134,2.372003819,2.560554485,2.894822792,3.15736176,3.435463355,3.849095413,3.996316145
2005-02-11,2.051778777,2.091707997,2.134343088,2.179055539,2.368921669,2.560324231,2.904451864,3.177400479,3.468299395,3.903710185,4.059284201
2005-02-14,2.054705359,2.098888668,2.145188594,2.193052861,2.391610138,2.587544893,2.934796489,3.207878231,3.497823362,3.930871103,4.085428485
2005-02-15,2.048255974,2.099635186,2.151762074,2.204288563,2.413043975,2.61104379,2.953713659,3.220805199,3.505219594,3.93540848,4.090386722
2005-02-16,2.042918772,2.095752096,2.148550148,2.201119127,2.406113933,2.597852051,2.930205675,3.193875186,3.482918415,3.943557119,4.115953473
2005-02-17,2.042729349,2.101699638,2.160688543,2.219425708,2.44778407,2.659310246,3.01853632,3.294868512,3.587065537,4.026614217,4.184324238
2005-02-18,2.033626365,2.098382839,2.162876736,2.226838179,2.47337181,2.699083162,3.077197327,3.363726159,3.662412342,4.102728648,4.258426438
2005-02-21,2.03885302,2.105611183,2.171846995,2.237322142,2.48813859,2.716201568,3.096127464,3.382915709,3.681305782,4.120772173,4.276136838
2005-02-22,2.045125837,2.106764203,2.169025593,2.231495522,2.477229485,2.706684257,3.095463835,3.390761193,3.696929193,4.141705703,4.297064816
2005-02-23,2.048625541,2.105903116,2.16439083,2.223606422,2.460409228,2.685476255,3.072510482,3.369917847,3.680708093,4.135953514,4.295749343
2005-02-24,2.05298417,2.111915253,2.171859093,2.232361508,2.473054462,2.700727457,3.091216943,3.391119713,3.704860407,4.16567298,4.327722442
2005-02-25,2.054981959,2.119394341,2.184163907,2.24890338,2.501777672,2.736092523,3.13055663,3.428670142,3.736714829,4.182491804,4.337732615
